Content: Sheet: Sheet1
Content: Unnamed: 0            Unnamed: 1 Unnamed: 2 Unnamed: 3           Unnamed: 4 Unnamed: 5        Unnamed: 6           Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10
Content: 0          NaN                   NaN        NaN        NaN                  NaN        NaN               NaN                  NaN  全国35城收视率%   山东省内收视率%    山东省内收视率%
Content: 1          NaN                    名称         频道         冠名                   日期       开始时间                时长                 结束时间   四岁及以上所有人   四岁及以上所有人      F25-55
Content: 2          NaN      中央广播电视总台2023元宵晚会  中央电视台综合频道        NaN  2023-02-05 00:00:00   20:04:00   4 days, 8:59:00             21:48:59    3.70028      6.292     6.62768
Content: 3          NaN      中央广播电视总台2023元宵晚会      中央台三套        NaN  2023-02-05 00:00:00   20:04:13   4 days, 8:59:00             21:49:12    1.36574    2.04969     1.31197
Content: 4          NaN   2023灯彩迎春中国潮山东卫视元宵晚会       山东卫视       东阿阿胶  2023-02-05 00:00:00   19:38:28           0062:20             20:40:48    0.09104    1.71578     0.92782
Content: 5          NaN      中央广播电视总台2023元宵晚会      中央台四套        NaN  2023-02-05 00:00:00   20:04:01   4 days, 8:59:00             21:49:00    0.99333    1.27486     0.64478
Content: 6          NaN          江苏卫视元宵晚会2023       江苏卫视    思念大黄米汤圆  2023-02-05 00:00:00   21:07:09           0091:35             22:38:44     1.2889    0.50214     0.48159
Content: 7          NaN                超好笑元宵夜     上海东方卫视       飞鹤奶粉  2023-02-05 00:00:00   21:55:52  4 days, 10:00:00             23:41:52    0.48937    0.22963     0.29287
Content: 8          NaN             2023元宵喜乐会       湖南卫视        拼多多  2023-02-05 00:00:00   19:32:01   6 days, 4:48:00             22:00:49    0.46802    0.22781     0.24204
Content: 9          NaN      中央广播电视总台2023元宵晚会  中央电视台音乐频道        NaN  2023-02-05 00:00:00   20:04:01   4 days, 8:59:00             21:49:00    0.20912    0.11873     0.14239
Content: 10         NaN    2023幸福1925G云分享元宵晚会       重庆卫视        NaN  2023-02-05 00:00:00   21:20:33           0085:30             22:46:03     0.0372    0.06077     0.08211
Content: 11         NaN          2023安徽卫视元宵晚会       安徽卫视       古井贡酒  2023-02-05 00:00:00   21:29:59           0080:34             22:50:33     0.1584     0.0446     0.07093
Content: 12         NaN      中央广播电视总台2023元宵晚会      中央台四套        NaN  2023-02-05 00:00:00   23:55:30   4 days, 9:00:00  1900-01-01 01:40:30    0.04125    0.03006     0.03653
Content: 13         NaN  曲苑芳华庆元宵2023年河北曲艺元宵晚会       河北卫视        御芝林  2023-02-05 00:00:00   20:41:31           0098:56             22:20:27    0.02672    0.02546           -
Content: 14         NaN       2023厦门职工春晚元宵喜乐会       厦门卫视        NaN  2023-02-05 00:00:00   19:49:48  4 days, 13:23:00             21:39:11    0.00583     0.0175           -
