Content: Sheet: Sheet1
Content: 频道    类型   级别    身份   参考价格
Content: 0        央视  综艺合作  NaN    冠名   1.2亿
Content: 1        央视  综艺合作  NaN  特约支持  4500万
Content: 2        央视  综艺合作  NaN    赞助  3000万
Content: 3      四大卫视  综艺合作   S+    冠名     1亿
Content: 4      四大卫视  综艺合作   S+  特约支持  5000万
Content: 5      四大卫视  综艺合作   S+    赞助  2500万
Content: 6      四大卫视  综艺合作    S    冠名  5000万
Content: 7      四大卫视  综艺合作    S  特约支持  2000万
Content: 8      四大卫视  综艺合作    S    赞助   800万
Content: 9      四大卫视  综艺合作    A    冠名  3000万
Content: 10     四大卫视  综艺合作    A  特约支持   800万
Content: 11     四大卫视  综艺合作    A    赞助   400万
Content: 12     其他卫视  综艺合作  NaN    冠名  1500万
Content: 13     其他卫视  综艺合作  NaN  特约支持   600万
Content: 14     其他卫视  综艺合作  NaN    赞助   250万
Content: 15     其他卫视  综艺合作  NaN    单期    80万
Content: 16   腾讯-爱奇艺  综艺合作   S+    冠名     1亿
Content: 17   腾讯-爱奇艺  综艺合作   S+  特约支持  5000万
Content: 18   腾讯-爱奇艺  综艺合作   S+    赞助  2500万
Content: 19   腾讯-爱奇艺  综艺合作    S    冠名  5000万
Content: 20   腾讯-爱奇艺  综艺合作    S  特约支持  2000万
Content: 21   腾讯-爱奇艺  综艺合作    S    赞助   800万
Content: 22   腾讯-爱奇艺  综艺合作    A    冠名  3000万
Content: 23   腾讯-爱奇艺  综艺合作    A  特约支持   800万
Content: 24   腾讯-爱奇艺  综艺合作    A    赞助   400万
Content: 25  优酷-芒果tv  综艺合作   S+    冠名  8000万
Content: 26  优酷-芒果tv  综艺合作   S+  特约支持  4000万
Content: 27  优酷-芒果tv  综艺合作   S+    赞助  2000万
Content: 28  优酷-芒果tv  综艺合作    S    冠名  4000万
Content: 29  优酷-芒果tv  综艺合作    S  特约支持  1500万
Content: 30  优酷-芒果tv  综艺合作    S    赞助   600万
Content: 31  优酷-芒果tv  综艺合作    A    冠名  2000万
Content: 32  优酷-芒果tv  综艺合作    A  特约支持   600万
Content: 33  优酷-芒果tv  综艺合作    A    赞助   300万
Content: 34        -  大剧合作   S+  剧内植入   100万
Content: 35        -  大剧合作    S  剧内植入    80万
Content: 36   腾讯-爱奇艺  大剧合作   S+    标板    40万
Content: 37   腾讯-爱奇艺  大剧合作    S    标板    30万
Content: 38  优酷-芒果tv  大剧合作   S+    标板    30万
Content: 39  优酷-芒果tv  大剧合作    S    标板    20万
Content: 40   腾讯-爱奇艺  大剧合作   S+   创可贴    25万
Content: 41   腾讯-爱奇艺  大剧合作    S   创可贴    20万
Content: 42  优酷-芒果tv  大剧合作   S+   创可贴    20万
Content: 43  优酷-芒果tv  大剧合作    S   创可贴    15万
Content: 44   腾讯-爱奇艺  大剧合作   S+  创意中插    50万
Content: 45   腾讯-爱奇艺  大剧合作    S  创意中插    40万
Content: 46  优酷-芒果tv  大剧合作   S+  创意中插    40万
Content: 47  优酷-芒果tv  大剧合作    S  创意中插    30万
Content: 48       央视  剧场合作   S+    特约    75万
Content: 49       央视  剧场合作   S+    联合    35万
Content: 50     四大卫视  晚会合作  NaN  行业赞助  2500万
Content: 51     其他卫视  晚会合作  NaN  行业赞助  1200万
